day,S population rate,I population rate,R population rate,estimated flu population rate
3.0815475
676525
0,85.0,14.0,1.0,14.112931
1,74.25,20.5,5.25,18.280237
2,65.0,23.75,11.25,22.656382
3,56.75,24.75,18.5,24.358393
4,49.5,24.5,26.0,24.504084
5,43.25,23.25,33.5,23.769737
6,37.75,21.75,40.5,22.270573
7,33.0,20.0,47.0,20.837748
8,29.0,18.25,52.749996,18.581587
9,25.25,16.25,58.499996,17.006948
10,22.0,14.5,63.5,15.191552
11,19.25,13.0,67.75,13.690257
12,16.75,11.5,71.75,12.117604
13,14.749999,10.25,75.0,10.93452
14,12.75,9.0,78.25,9.63894
15,11.25,7.75,81.0,8.7879715
16,9.75,7.0,83.25,7.959625
17,8.5,6.0,85.5,7.264831
18,7.5000005,5.25,87.25,6.8614025
19,6.5,4.5,89.0,6.259897
20,5.75,4.0,90.25,5.8055997
21,5.0,3.5,91.5,5.6247845
22,4.25,3.0,92.75,5.109849
23,3.7500002,2.75,93.5,5.109804
24,3.25,2.25,94.5,4.8792844
25,2.75,2.0,95.25,4.7451043
26,2.5,1.75,95.75,4.6773086
27,2.0,1.5,96.5,4.615607
28,1.75,1.25,97.0,4.476171
29,1.5,1.0,97.5,4.43484
