day,S population rate,I population rate,R population rate,estimated flu population rate
1.5430313
33247
0,84.0,15.000001,1.0,15.165336
1,72.5,22.0,5.5,19.181705
2,62.5,25.25,12.25,23.832691
3,53.750004,26.249998,20.0,26.039248
4,46.5,25.75,27.75,25.847797
5,40.0,24.5,35.5,24.660109
6,34.5,22.5,43.0,23.097342
7,29.750002,20.5,49.75,21.074541
8,25.75,18.5,55.75,18.761747
9,22.0,16.5,61.5,16.866352
10,19.0,14.5,66.5,14.70119
11,16.5,12.75,70.75,13.438086
12,14.25,11.25,74.5,11.865032
13,12.25,9.75,78.0,10.500287
14,10.5,8.5,81.0,9.134419
15,9.0,7.25,83.75,8.842437
16,7.75,6.5,85.75,7.450263
17,6.7500005,5.5,87.75,6.2951956
18,5.75,4.75,89.5,4.880248
19,5.0,4.0,91.0,4.7591343
20,4.25,3.5,92.25,4.2363977
21,3.7500002,3.0,93.25,4.345025
22,3.25,2.5,94.25,4.0747747
23,2.75,2.25,95.0,2.884223
24,2.25,2.0,95.75,4.4508615
25,2.0,1.75,96.25,3.5368855
26,1.75,1.5,96.75,2.3359895
27,1.5,1.25,97.25,3.5306034
28,1.25,1.0,97.75,2.9659915
29,1.0,0.75,98.25,2.8999708
