day,S population rate,I population rate,R population rate,estimated flu population rate
0,86.0,13.0,1.0,12.918719
1,76.0,19.0,5.0,19.010265
2,67.0,22.25,10.75,22.181276
3,59.249996,23.25,17.5,23.283653
4,52.249996,23.25,24.5,23.191841
5,46.25,22.25,31.5,22.71309
6,40.75,21.0,38.25,20.835743
7,36.0,19.5,44.5,19.455818
8,31.75,17.75,50.5,18.171154
9,28.0,16.25,55.75,15.95005
10,24.75,14.5,60.75,14.363112
11,21.75,13.0,65.25,13.160533
12,19.25,11.75,69.0,11.7093935
13,17.0,10.5,72.5,10.456088
14,15.000001,9.25,75.75,9.2763605
15,13.249999,8.25,78.5,8.182947
16,11.75,7.25,81.0,7.4763894
17,10.25,6.5,83.25,6.9740763
18,9.0,5.75,85.25,5.8954887
19,8.0,5.0,87.0,5.415523
20,7.0,4.5,88.5,4.966831
21,6.25,4.0,89.75,4.38491
22,5.5,3.5,91.0,4.799021
23,4.75,3.0,92.25,3.6505823
24,4.25,2.75,93.0,3.5171213
25,3.7500002,2.25,94.0,3.7539542
26,3.25,2.0,94.75,3.3631356
27,3.0,1.75,95.25,3.839351
28,2.5,1.5,96.0,3.2221062
29,2.25,1.5,96.25,2.7429774
