day,S population rate,I population rate,R population rate,estimated flu population rate
0,85.0,14.0,1.0,13.947554
1,74.25,20.5,5.25,20.406277
2,65.0,23.75,11.25,23.908602
3,56.75,24.75,18.5,24.653782
4,49.5,24.5,26.0,24.34026
5,43.25,23.25,33.5,23.28146
6,37.75,21.75,40.5,21.683119
7,33.0,20.0,47.0,19.692493
8,29.0,18.25,52.749996,18.113297
9,25.25,16.25,58.499996,16.39663
10,22.0,14.5,63.5,14.261878
11,19.25,13.0,67.75,12.742371
12,16.75,11.5,71.75,11.392055
13,14.749999,10.25,75.0,9.92069
14,12.75,9.0,78.25,9.309462
15,11.25,7.75,81.0,8.095564
16,9.75,7.0,83.25,7.1462765
17,8.5,6.0,85.5,5.976713
18,7.5000005,5.25,87.25,5.363051
19,6.5,4.5,89.0,4.9166565
20,5.75,4.0,90.25,4.712292
21,5.0,3.5,91.5,4.175849
22,4.25,3.0,92.75,3.8274763
23,3.7500002,2.75,93.5,3.6066012
24,3.25,2.25,94.5,3.3664212
25,2.75,2.0,95.25,3.5508559
26,2.5,1.75,95.75,3.068909
27,2.0,1.5,96.5,2.960969
28,1.75,1.25,97.0,2.6381907
29,1.5,1.0,97.5,3.2324407
